id,title,abstract,author_keywords,document_type,year,hamann@mcc-berlin.net,kelch@mcc-berlin.net,lueck@mcc-berlin.net,mawla@mcc-berlin.net,metz@mcc-berlin.net,sanchez@mcc-berlin.net,stephan@mcc-berlin.net,verdugo-raab@mcc-berlin.net,num_ratings,rating,doc__id,Category Name,user_1,user_2,agreement,decision_1,decision_2,correction,level,category,label_1,label_2,label_3,label_4,all_info
93869,Enhanced chlorophyll associated with tropical instability waves in the equatorial Pacific,"High resolution mooring time series are used to quantify significant chlorophyll anomalies associated with tropical instability waves (TIWs) in the equatorial Pacific. Distinct peaks characterized by very high chlorophyll (up to 3.5 mg m(-3)) are observed in association with TIW cold cusps. These high-chlorophyll peaks appear to differ with respect to scale and intensity from those previously observed at subductive fronts. The physical processes responsible for the observed chlorophyll distributions are not mutually exclusive, and include advection, horizontal mixing; enhanced upwelling and concentration of biomass at fronts. Given the potentially large spatial extent of these high chlorophyll bands, their importance as regions of increased productivity and CO2 uptake is discussed.",,Article,2001.0,,,0.0,1.0,,1.0,,,1.0,0.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,"Enhanced chlorophyll associated with tropical instability waves in the equatorial Pacific High resolution mooring time series are used to quantify significant chlorophyll anomalies associated with tropical instability waves (TIWs) in the equatorial Pacific. Distinct peaks characterized by very high chlorophyll (up to 3.5 mg m(-3)) are observed in association with TIW cold cusps. These high-chlorophyll peaks appear to differ with respect to scale and intensity from those previously observed at subductive fronts. The physical processes responsible for the observed chlorophyll distributions are not mutually exclusive, and include advection, horizontal mixing; enhanced upwelling and concentration of biomass at fronts. Given the potentially large spatial extent of these high chlorophyll bands, their importance as regions of increased productivity and CO2 uptake is discussed. Article "
532139,Relative roles of coastal and oceanic processes in determining physical and chemical characteristics of an intensively sampled nearshore system,"We compared the extent to which offshore and remote-sensing measurements of sea surface temperature (SST), upwelling, and chlorophyll a (Chl a) were concordant with in situ measurements of temperature, Chl a, and water nutrients at Tatoosh Island, Washington for the past 8 yr. Offshore SSTs were significantly correlated with water temperatures at Tatoosh, though consistently 2 degrees C to 3 degrees C warmer. Sea-viewing wide field-of-view sensor Chl a estimates were poor predictors of Chl a at Tatoosh Island measured with an anchored fluorometer. Nitrate and phosphorus estimates at Tatoosh Island were positively correlated with an upwelling index and negatively correlated with SST, as would be expected from an upwelling source. In contrast, ammonium and nitrite were uncorrelated with the upwelling index or SST and showed elevated levels immediately adjacent to Tatoosh Island, suggesting strong local effects of marine invertebrates, birds, and mammals on nutrient dynamics and cycling in coastal ecosystems.",,Article,2007.0,,,0.0,,,1.0,,,1.0,0.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,"Relative roles of coastal and oceanic processes in determining physical and chemical characteristics of an intensively sampled nearshore system We compared the extent to which offshore and remote-sensing measurements of sea surface temperature (SST), upwelling, and chlorophyll a (Chl a) were concordant with in situ measurements of temperature, Chl a, and water nutrients at Tatoosh Island, Washington for the past 8 yr. Offshore SSTs were significantly correlated with water temperatures at Tatoosh, though consistently 2 degrees C to 3 degrees C warmer. Sea-viewing wide field-of-view sensor Chl a estimates were poor predictors of Chl a at Tatoosh Island measured with an anchored fluorometer. Nitrate and phosphorus estimates at Tatoosh Island were positively correlated with an upwelling index and negatively correlated with SST, as would be expected from an upwelling source. In contrast, ammonium and nitrite were uncorrelated with the upwelling index or SST and showed elevated levels immediately adjacent to Tatoosh Island, suggesting strong local effects of marine invertebrates, birds, and mammals on nutrient dynamics and cycling in coastal ecosystems. Article "
5298992,Mesozooplankton responses to iron-fertilization in the western subarctic Pacific (SEEDS2001),"A mesoscale iron-fertilization experiment was carried out in the western subarctic Pacific during summer 2001. The iron-patch was traced for 14 days after the fertilization, and the abundance and behavior of mesozooplankton were compared with those outside of the patch. The phytoplankton biomass in the patch rapidly increased to over 15 times the initial level by the later half of the observation period, and was composed of large-sized (> 10 mm), centric diatoms. Dominant zooplankton species in the upper 200-m depth were large copepods: Neocalanus plumchrus, Neocalanus cristatus, Eucalanus bungii and Metridia pacifica. Mesozoplankton biomass as well as species composition did not change significantly in the patch over the observation period. Furthermore, no changes of vertical distribution or diel vertical migration were observed for any species or stages of mesozooplankton throughout the observation period. However, the abundance of the first copepodite stages of N. plumchrus and E. bungii increased several fold in the patch after the diatom bloom formation compared to the densities outside the patch. The increases of both species are considered to be due to lowered mortality during the egg and nauplius stages. Spawning of N. plumchrus takes place at depth using lipid storage, while spawning of E. bungii takes place in the surface layer supported by grazing. These facts suggest that the relative importance of nauplii in the diets of the large copepods was decreased in the patch by the diatom bloom. Gut-pigment contents of dominant copepods in the patch increased 4-18 times, and the maximum values were observed during the bloom peak. However, the grazing impact on phytoplankton was low throughout the experiment, especially during the bloom period (< 6% of the primary production). (c) 2005 Elsevier Ltd. All rights reserved.",subarctic Pacific; zooplankton; copepod; iron; grazing; numerical response,Review,2005.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,"Mesozooplankton responses to iron-fertilization in the western subarctic Pacific (SEEDS2001) subarctic Pacific; zooplankton; copepod; iron; grazing; numerical response A mesoscale iron-fertilization experiment was carried out in the western subarctic Pacific during summer 2001. The iron-patch was traced for 14 days after the fertilization, and the abundance and behavior of mesozooplankton were compared with those outside of the patch. The phytoplankton biomass in the patch rapidly increased to over 15 times the initial level by the later half of the observation period, and was composed of large-sized (> 10 mm), centric diatoms. Dominant zooplankton species in the upper 200-m depth were large copepods: Neocalanus plumchrus, Neocalanus cristatus, Eucalanus bungii and Metridia pacifica. Mesozoplankton biomass as well as species composition did not change significantly in the patch over the observation period. Furthermore, no changes of vertical distribution or diel vertical migration were observed for any species or stages of mesozooplankton throughout the observation period. However, the abundance of the first copepodite stages of N. plumchrus and E. bungii increased several fold in the patch after the diatom bloom formation compared to the densities outside the patch. The increases of both species are considered to be due to lowered mortality during the egg and nauplius stages. Spawning of N. plumchrus takes place at depth using lipid storage, while spawning of E. bungii takes place in the surface layer supported by grazing. These facts suggest that the relative importance of nauplii in the diets of the large copepods was decreased in the patch by the diatom bloom. Gut-pigment contents of dominant copepods in the patch increased 4-18 times, and the maximum values were observed during the bloom peak. However, the grazing impact on phytoplankton was low throughout the experiment, especially during the bloom period (< 6% of the primary production). (c) 2005 Elsevier Ltd. All rights reserved. Review "
514960,Nitrogen and iron fertilization in the oceans: potential means to sequester CO2 from the atmosphere,,,Editorial Material,2009.0,1.0,,,,,,,1.0,2.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Nitrogen and iron fertilization in the oceans: potential means to sequester CO2 from the atmosphere Editorial Material 
292481,Augmenting the Biological Pump THE SHORTCOMINGS OF GEOENGINEERED UPWELLING,,,Editorial Material,2014.0,1.0,,,,,,,1.0,2.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Augmenting the Biological Pump THE SHORTCOMINGS OF GEOENGINEERED UPWELLING Editorial Material 
314120,Oceans - Dis-crediting ocean fertilization,,,Editorial Material,2001.0,1.0,,,,,,,1.0,2.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Oceans - Dis-crediting ocean fertilization Editorial Material 
5298941,Physicochemical speciation of trace metals during the mesoscale iron enrichment (SEEDS II) in the western North Pacific,,,Meeting Abstract,2007.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Physicochemical speciation of trace metals during the mesoscale iron enrichment (SEEDS II) in the western North Pacific Meeting Abstract 
258787,Iron fertilization will not work in much of the Pacific,,,News Item,2016.0,1.0,,,,,,,1.0,2.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Iron fertilization will not work in much of the Pacific News Item 
293236,Will ocean fertilization work?,,,Review,2003.0,1.0,,,,,,,1.0,2.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Will ocean fertilization work? Review 
2366,Implications of large-scale iron fertilization of the oceans - Introduction and synthesis,,,Editorial Material,2008.0,1.0,,,,,,,1.0,2.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Implications of large-scale iron fertilization of the oceans - Introduction and synthesis Editorial Material 
5298930,IRON ENRICHMENTS IN HYDROTHERMAL PLUMES OVER THE EAST PACIFIC RISE,,,Article,1986.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,0,relevant,0,0,0,0,IRON ENRICHMENTS IN HYDROTHERMAL PLUMES OVER THE EAST PACIFIC RISE Article 
544086,DOUBTS RAISED ON OCEAN FERTILIZATION WITH IRON,,,Short Survey,1991.0,1.0,,,,,,,1.0,2.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,DOUBTS RAISED ON OCEAN FERTILIZATION WITH IRON Short Survey 
1404694,SERIES (subarctic ecosystem response to iron enrichment study): A Canadian-Japanese contribution to our understanding of the iron-ocean-climate connection - Preface,,,Editorial Material,2006.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,0,relevant,0,0,0,0,SERIES (subarctic ecosystem response to iron enrichment study): A Canadian-Japanese contribution to our understanding of the iron-ocean-climate connection - Preface Editorial Material 
543774,Reply to 'Emissions accounting for biomass energy with CCS',,,Letter,2015.0,1.0,,,,,,,1.0,2.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Reply to 'Emissions accounting for biomass energy with CCS' Letter 
277565,Can bioenergy with carbon capture and storage make an impact?,,,Editorial Material,2016.0,1.0,,,,,,,1.0,2.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Can bioenergy with carbon capture and storage make an impact? Editorial Material 
923257,"Can BECCS deliver sustainable and resource efficient negative emissions? (vol 10, 1389, 2017)",,,Correction,2017.0,,1.0,1.0,,,,,,2.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,"Can BECCS deliver sustainable and resource efficient negative emissions? (vol 10, 1389, 2017) Correction "
5298443,Restoration of mangrove ecosystems,,,Editorial Material,2000.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Restoration of mangrove ecosystems Editorial Material 
5298419,Mangrove conservation and restoration for enhanced resilience,,,Book Chapter,2003.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Mangrove conservation and restoration for enhanced resilience Book Chapter 
3855782,"DO RESTORED MANGROVES FUNCTION SIMILAR TO INTACT ONES? CARBON STORAGE, SEDIMENTATION, AND MORE!",,,Meeting Abstract,2020.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,0,relevant,0,0,0,0,"DO RESTORED MANGROVES FUNCTION SIMILAR TO INTACT ONES? CARBON STORAGE, SEDIMENTATION, AND MORE! Meeting Abstract "
3801100,"Optimal mangrove restoration through community engagement on coastal lands facing climatic risks: The case of Sundarbans region in India (vol 81, pg 736, 2019)",,,Correction,2019.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,0,relevant,0,0,0,0,"Optimal mangrove restoration through community engagement on coastal lands facing climatic risks: The case of Sundarbans region in India (vol 81, pg 736, 2019) Correction "
5298273,"Global analysis of seagrass restoration: the importance of large-scale planting (vol 53, pg 567, 2016)",,,Correction,2019.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,0,relevant,0,0,0,0,"Global analysis of seagrass restoration: the importance of large-scale planting (vol 53, pg 567, 2016) Correction "
5298267,"Ecosystem service changes in response to mainland coastline movements in China: Process, pattern, and trade-off",,,Article,2020.0,,,0.0,0.0,,,,,1.0,0.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,"Ecosystem service changes in response to mainland coastline movements in China: Process, pattern, and trade-off Article "
5298260,Land tenure considerations are key to successful mangrove restoration,,,Letter,2019.0,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Land tenure considerations are key to successful mangrove restoration Letter 
5298549,Mangrove restoration: Growing Rhizophora Mangle in a controlled environment in order to find their optimum growth requirements,,,Meeting Abstract,2012.0,,,1.0,1.0,,,,,1.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,Mangrove restoration: Growing Rhizophora Mangle in a controlled environment in order to find their optimum growth requirements Meeting Abstract 
5298542,A COST-EVALUATION TECHNIQUE FOR RESTORATION OF SEAGRASS AND OTHER PLANT-COMMUNITIES,,,Article,1982.0,,,1.0,,,,,,1.0,1.0,,,0.0,0.0,,,,,0,relevant,0,0,0,0,A COST-EVALUATION TECHNIQUE FOR RESTORATION OF SEAGRASS AND OTHER PLANT-COMMUNITIES Article 
